IdMovie,title
364,Batman Returns
377,A Nightmare on Elm Street
378,Raising Arizona
379,Miller's Crossing
380,Rain Man
381,To Catch a Thief
383,Mala Noche
387,Das Boot
388,Inside Man
389,12 Angry Men
390,Lisbon Story
391,A Fistful of Dollars
392,Chocolat
393,Kill Bill: Vol. 2
395,AVP: Alien vs. Predator
396,Who's Afraid of Virginia Woolf?
397,French Kiss
398,Capote
400,Things to Do in Denver When You're Dead
401,Garden State
402,Basic Instinct
403,Driving Miss Daisy
404,The Straight Story
405,La Strada
406,La Haine
407,Short Sharp Shock
408,Snow White and the Seven Dwarfs
409,The English Patient
410,Summer in Berlin
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
414,Batman Forever
415,Batman & Robin
421,The Life Aquatic with Steve Zissou
422,8½
423,The Pianist
424,Schindler's List
425,Ice Age
426,Vertigo
427,Mon oncle
428,Summer '04
429,"The Good, the Bad and the Ugly"
430,"One, Two, Three"
431,Cube
433,Mary Poppins
434,Tough Enough
435,The Day After Tomorrow
436,Maria Full of Grace
437,Cube²: Hypercube
438,Cube Zero
439,La Dolce Vita
440,Aliens vs Predator: Requiem
441,Human Nature
442,Popular Music
445,Caché
451,Leaving Las Vegas
452,The Idiots
453,A Beautiful Mind
454,Romeo + Juliet
455,Bend It Like Beckham
457,Sissi
458,Sissi: The Young Empress
459,Sissi: The Fateful Years of an Empress
460,Go for Zucker
462,Erin Brockovich
464,As It Is in Heaven
465,Junior Size 36
466,Klute
467,The Hole
468,My Own Private Idaho
469,Stranger Than Paradise
470,21 Grams
471,Bandyta
473,Pi
475,Bonnie and Clyde
476,Drugstore Cowboy
479,Shaft
480,Monsoon Wedding
481,7 Virgins
482,Shaft
483,Wild at Heart
488,The African Queen
489,Good Will Hunting
490,The Seventh Seal
492,Being John Malkovich
493,Shaft's Big Score!
494,Shaft in Africa
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
497,The Green Mile
499,Cléo from 5 to 7
500,Reservoir Dogs
501,Grizzly Man
502,Fail-Safe
503,Poseidon
504,Monster
505,Johnny Handsome
506,Marnie
507,Killing Zoe
508,Love Actually
509,Notting Hill
510,One Flew Over the Cuckoo's Nest
511,The Promised Land
512,Scoop
513,Fire
521,Dial M for Murder
522,Ed Wood
523,Requiem
524,Casino
525,The Blues Brothers
526,Ladyhawke
527,Once Were Warriors
530,A Grand Day Out
531,The Wrong Trousers
532,A Close Shave
533,The Curse of the Were-Rabbit
534,Terminator Salvation
535,Flashdance
537,Not Here to Be Loved
539,Psycho
540,D.E.B.S.
541,The Man with the Golden Arm
542,The Crime of Padre Amaro
543,Blackmail
544,There's Something About Mary
546,Transamerica
547,The Horse Whisperer
548,Rashomon
549,Basquiat
550,Fight Club
551,The Poseidon Adventure
552,Bread and Tulips
553,Dogville
554,The Cuckoo
557,Spider-Man
558,Spider-Man 2
559,Spider-Man 3
560,Secret Beyond the Door
561,Constantine
562,Die Hard
563,Starship Troopers
564,The Mummy
565,The Ring
567,Rear Window
568,Apollo 13
570,Fat Girl
571,The Birds
572,Next Door
573,Frenzy
574,The Man Who Knew Too Much
575,The Experiment
576,The Wild Bunch
577,To Die For
578,Jaws
579,Jaws 2
580,Jaws: The Revenge
581,Dances with Wolves
582,The Lives of Others
583,Life of Brian
584,2 Fast 2 Furious
585,"Monsters, Inc."
586,Wag the Dog
587,Big Fish
588,Silent Hill
590,The Hours
591,The Da Vinci Code
592,The Conversation
593,Solaris
594,The Terminal
595,To Kill a Mockingbird
596,The Grapes of Wrath
597,Titanic
598,City of God
599,Sunset Boulevard
600,Full Metal Jacket
601,E.T. the Extra-Terrestrial
602,Independence Day
603,The Matrix
604,The Matrix Reloaded
605,The Matrix Revolutions
606,Out of Africa
607,Men in Black
608,Men in Black II
609,Poltergeist
612,Munich
613,Downfall
614,Wild Strawberries
615,The Passion of the Christ
616,The Last Samurai
617,Wild Things
618,The Birth of a Nation
619,The Bodyguard
620,Ghostbusters
621,Grease
622,The Ninth Gate
623,A Fish Called Wanda
624,Easy Rider
625,The Killing Fields
626,Un chien andalou
627,Trainspotting
628,Interview with the Vampire
629,The Usual Suspects
630,The Wizard of Oz
631,Sunrise: A Song of Two Humans
632,Stalag 17
633,Soldier of Orange
634,Bridget Jones's Diary
635,Angel Heart
636,THX 1138
637,Life Is Beautiful
638,Lost Highway
639,When Harry Met Sally...
640,Catch Me If You Can
641,Requiem for a Dream
642,Butch Cassidy and the Sundance Kid
643,Battleship Potemkin
644,A.I. Artificial Intelligence
646,Dr. No
647,Final Fantasy VII: Advent Children
648,Beauty and the Beast
649,Belle de Jour
650,Boyz n the Hood
651,M*A*S*H
652,Troy
653,Nosferatu
654,On the Waterfront
655,"Paris, Texas"
657,From Russia with Love
658,Goldfinger
659,The Tin Drum
660,Thunderball
661,The Marriage of Maria Braun
662,La Jetée
663,Saw IV
664,Twister
665,Ben-Hur
666,Central Station
667,You Only Live Twice
668,On Her Majesty's Secret Service
669,Nanook of the North
670,Oldboy
671,Harry Potter and the Philosopher's Stone
672,Harry Potter and the Chamber of Secrets
673,Harry Potter and the Prisoner of Azkaban
674,Harry Potter and the Goblet of Fire
675,Harry Potter and the Order of the Phoenix
676,Pearl Harbor
677,Olympia Part One: Festival of the Nations
678,Out of the Past
679,Aliens
680,Pulp Fiction
681,Diamonds Are Forever
682,The Man with the Golden Gun
685,Olympia Part Two: Festival of Beauty
686,Contact
687,Dead Man Walking
688,The Bridges of Madison County
689,The Travelling Players
690,Pickpocket
691,The Spy Who Loved Me
692,Pink Flamingos
693,Meet the Fockers
694,The Shining
695,Short Cuts
696,Manhattan
697,October (Ten Days that Shook the World)
698,Moonraker
699,For Your Eyes Only
700,Octopussy
701,Our Hospitality
702,A Streetcar Named Desire
703,Annie Hall
704,A Hard Day's Night
705,All About Eve
706,Effi Briest
707,A View to a Kill
708,The Living Daylights
709,Licence to Kill
710,GoldenEye
711,Finding Forrester
712,Four Weddings and a Funeral
713,The Piano
714,Tomorrow Never Dies
742,Together
744,Top Gun
745,The Sixth Sense
746,The Last Emperor
747,Shaun of the Dead
750,Murder She Said
751,Murder at the Gallop
752,V for Vendetta
753,Faces
754,Face/Off
755,From Dusk Till Dawn
756,Fantasia
757,Murder Most Foul
758,Murder Ahoy
759,Gentlemen Prefer Blondes
760,The Mad Adventures of Rabbi Jacob
761,The Wing or the Thigh
762,Monty Python and the Holy Grail
763,Braindead
764,The Evil Dead
765,Evil Dead II
766,Army of Darkness
767,Harry Potter and the Half-Blood Prince
768,From Hell
769,GoodFellas
770,Gone with the Wind
771,Home Alone
772,Home Alone 2: Lost in New York
773,Little Miss Sunshine
774,Workers Leaving the Lumière Factory
775,A Trip to the Moon
776,The Rules of the Game
777,Grand Illusion
778,Monsieur  Hulot's Holiday
779,Vampyr
780,The Passion of Joan of Arc
781,Wintersleepers
782,Gattaca
783,Gandhi
784,Kolya
786,Almost Famous
787,Mr. & Mrs. Smith
788,Mrs. Doubtfire
789,Closely Watched Trains
790,The Fog
791,The Fog
792,Platoon
793,Blue Velvet
794,The Omen
795,City of Angels
796,Cruel Intentions
797,Persona
798,Pünktchen und Anton
799,Annaluise & Anton
800,Los Olvidados
801,"Good Morning, Vietnam"
802,Lolita
803,Night and Fog
804,Roman Holiday
805,Rosemary's Baby
806,The Omen
807,Se7en
808,Shrek
809,Shrek 2
810,Shrek the Third
811,Silent Running
812,Aladdin
813,Airplane!
814,An American Werewolf in London
815,Animal Farm
816,Austin Powers: International Man of Mystery
817,Austin Powers: The Spy Who Shagged Me
818,Austin Powers in Goldmember
819,Sleepers
820,JFK
821,Judgment at Nuremberg
822,The Music Room
823,Jin-Roh: The Wolf Brigade
824,Moulin Rouge!
825,Playing by Heart
826,The Bridge on the River Kwai
827,Diabolique
828,The Day the Earth Stood Still
829,Chinatown
830,Forbidden Planet
831,This Island Earth
832,M
833,Umberto D.
834,Underworld: Evolution
836,Barren Lives
837,Videodrome
838,American Graffiti
839,Duel
840,Close Encounters of the Third Kind
841,Dune
842,The Assassination of Richard Nixon
843,In the Mood for Love
844,2046
845,Strangers on a Train
846,The X Files
847,Willow
848,Dragonslayer
849,Krull
850,A Christmas Story
851,Brief Encounter
853,Enemy at the Gates
854,The Mask
855,Black Hawk Down
856,Who Framed Roger Rabbit
857,Saving Private Ryan
858,Sleepless in Seattle
859,Dangerous Liaisons
860,WarGames
861,Total Recall
862,Toy Story
863,Toy Story 2
864,Cool Runnings
865,The Running Man
866,Finding Neverland
867,Sliver
868,Tsotsi
869,Planet of the Apes
870,Dolls
871,Planet of the Apes
872,Singin' in the Rain
873,The Color Purple
874,A Man for All Seasons
875,Shanghai Express
876,Frank Herbert's Dune
877,Scarface
878,The Punch Bowl
879,Hook
880,Antonia's Line
881,A Few Good Men
883,Coffee and Cigarettes
884,Crash
885,The Docks of New York
886,The Cincinnati Kid
887,The Best Years of Our Lives
888,The Flintstones
889,The Flintstones in Viva Rock Vegas
890,Brother of Sleep
891,All the President's Men
892,Delicatessen
895,Andrei Rublev
896,The World of Apu
897,Aparajito
898,Birdman of Alcatraz
899,Broken Blossoms
900,Bringing Up Baby
901,City Lights
902,The City of Lost Children
903,Cool Hand Luke
905,Pandora's Box
907,Doctor Zhivago
909,Meet Me in St. Louis
910,The Big Sleep
911,The Bank Dick
912,The Thomas Crown Affair
913,The Thomas Crown Affair
914,The Great Dictator
916,Bullitt
917,Mother India
918,Blind Date
919,Blood: The Last Vampire
920,Cars
921,Cinderella Man
922,Dead Man
923,Dawn of the Dead
924,Dawn of the Dead
925,Do the Right Thing
926,Galaxy Quest
927,Gremlins
928,Gremlins 2: The New Batch
929,Godzilla
931,Don't Look Now
932,The Murderers Are Among Us
934,Rififi
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
936,The Pink Panther
938,For a Few Dollars More
939,The Jazz Singer
940,The Lady Vanishes
941,Lethal Weapon
942,Lethal Weapon 2
943,Lethal Weapon 3
944,Lethal Weapon 4
946,Letter from an Unknown Woman
947,Lawrence of Arabia
948,Halloween
949,Heat
950,Ice Age: The Meltdown
